Código de Producto,Cantidad,Stock Mínimo,Stock Máximo
P0001,50,10,100
P0002,30,6,60
P0003,40,8,80
P0004,36,8,72
P0005,36,8,72
P0006,40,10,80
P0007,35,8,70
P0008,20,5,40
P0009,30,6,60
P0010,60,15,120
P0011,40,10,80
P0012,25,6,50
P0013,36,8,72
P0014,48,12,96
P0015,36,8,72
P0016,24,6,48
P0017,60,15,120
P0018,36,8,72
P0019,24,6,48
P0020,40,10,80
P0021,15,4,30
P0022,30,8,60
P0023,18,4,36
P0024,30,8,60
P0025,18,4,36
P0026,40,10,80
P0027,20,5,40
P0028,30,8,60
P0029,30,8,60
P0030,30,8,60
P0031,24,6,48
P0032,20,5,40
P0033,24,6,48
P0034,48,12,96
P0035,24,6,48
P0036,24,6,48
P0037,24,6,48
P0038,24,6,48
P0039,60,15,120
P0040,60,15,120
P0041,50,12,100
P0042,24,6,48
P0043,36,10,72
P0044,18,4,36
P0045,30,8,60
P0046,50,12,100
P0047,40,10,80
P0048,24,6,48
P0049,48,12,96
P0050,30,8,60
P0051,60,15,120
P0052,30,8,60
P0053,40,10,80
P0054,12,3,24
P0055,10,3,20
P0056,15,4,30
P0057,10,3,20
P0058,10,3,20
P0059,15,4,30
P0060,20,5,40
P0061,15,4,30
P0062,40,10,80
P0063,12,3,24
P0064,8,2,16
P0065,15,4,30
P0066,20,5,40
P0067,15,4,30
P0068,40,10,80
P0069,24,6,48
P0070,12,3,24
P0071,10,3,20
P0072,8,2,16
P0073,200,50,500
P0074,200,50,500
P0075,100,30,300
P0076,150,40,400
P0077,150,40,400
P0078,100,30,300
P0079,200,50,500
P0080,200,50,500
P0081,150,40,400
P0082,100,30,300
P0083,150,40,400
P0084,100,25,250
P0085,50,15,150
P0086,30,10,80
P0087,80,20,200
