Id,Code,StateId,MunicipalityId,LocalityId,IsBorderZone,TimeZone,TimeZoneOffset
0001-20000,20000,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20001,20001,AGU,,0000,0,Tiempo del Centro,-6
0000-20002,20002,AGU,,0000,0,Tiempo del Centro,-6
0000-20003,20003,AGU,,0000,0,Tiempo del Centro,-6
0000-20004,20004,AGU,,0000,0,Tiempo del Centro,-6
0000-20005,20005,AGU,,0000,0,Tiempo del Centro,-6
0000-20006,20006,AGU,,0000,0,Tiempo del Centro,-6
0000-20007,20007,AGU,,0000,0,Tiempo del Centro,-6
0000-20008,20008,AGU,,0000,0,Tiempo del Centro,-6
0000-20009,20009,AGU,,0000,0,Tiempo del Centro,-6
0001-20010,20010,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20011,20011,AGU,,0000,0,Tiempo del Centro,-6
0000-20012,20012,AGU,,0000,0,Tiempo del Centro,-6
0000-20013,20013,AGU,,0000,0,Tiempo del Centro,-6
0000-20014,20014,AGU,,0000,0,Tiempo del Centro,-6
0000-20015,20015,AGU,,0000,0,Tiempo del Centro,-6
0001-20016,20016,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20017,20017,AGU,,0000,0,Tiempo del Centro,-6
0001-20018,20018,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20019,20019,AGU,,0000,0,Tiempo del Centro,-6
0001-20020,20020,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20021,20021,AGU,,0000,0,Tiempo del Centro,-6
0000-20022,20022,AGU,,0000,0,Tiempo del Centro,-6
0000-20023,20023,AGU,,0000,0,Tiempo del Centro,-6
0000-20024,20024,AGU,,0000,0,Tiempo del Centro,-6
0000-20025,20025,AGU,,0000,0,Tiempo del Centro,-6
0000-20026,20026,AGU,,0000,0,Tiempo del Centro,-6
0000-20027,20027,AGU,,0000,0,Tiempo del Centro,-6
0000-20028,20028,AGU,,0000,0,Tiempo del Centro,-6
0001-20029,20029,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20030,20030,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20031,20031,AGU,,0000,0,Tiempo del Centro,-6
0000-20032,20032,AGU,,0000,0,Tiempo del Centro,-6
0000-20033,20033,AGU,,0000,0,Tiempo del Centro,-6
0000-20034,20034,AGU,,0000,0,Tiempo del Centro,-6
0000-20035,20035,AGU,,0000,0,Tiempo del Centro,-6
0000-20036,20036,AGU,,0000,0,Tiempo del Centro,-6
0000-20037,20037,AGU,,0000,0,Tiempo del Centro,-6
0000-20038,20038,AGU,,0000,0,Tiempo del Centro,-6
0000-20039,20039,AGU,,0000,0,Tiempo del Centro,-6
0001-20040,20040,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20041,20041,AGU,,0000,0,Tiempo del Centro,-6
0000-20042,20042,AGU,,0000,0,Tiempo del Centro,-6
0000-20043,20043,AGU,,0000,0,Tiempo del Centro,-6
0000-20044,20044,AGU,,0000,0,Tiempo del Centro,-6
0000-20045,20045,AGU,,0000,0,Tiempo del Centro,-6
0000-20046,20046,AGU,,0000,0,Tiempo del Centro,-6
0000-20047,20047,AGU,,0000,0,Tiempo del Centro,-6
0000-20048,20048,AGU,,0000,0,Tiempo del Centro,-6
0001-20049,20049,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20050,20050,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20051,20051,AGU,,0000,0,Tiempo del Centro,-6
0000-20052,20052,AGU,,0000,0,Tiempo del Centro,-6
0000-20053,20053,AGU,,0000,0,Tiempo del Centro,-6
0000-20054,20054,AGU,,0000,0,Tiempo del Centro,-6
0000-20055,20055,AGU,,0000,0,Tiempo del Centro,-6
0000-20056,20056,AGU,,0000,0,Tiempo del Centro,-6
0000-20057,20057,AGU,,0000,0,Tiempo del Centro,-6
0000-20058,20058,AGU,,0000,0,Tiempo del Centro,-6
0001-20059,20059,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20060,20060,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20061,20061,AGU,,0000,0,Tiempo del Centro,-6
0000-20062,20062,AGU,,0000,0,Tiempo del Centro,-6
0000-20063,20063,AGU,,0000,0,Tiempo del Centro,-6
0001-20064,20064,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20065,20065,AGU,,0000,0,Tiempo del Centro,-6
0000-20066,20066,AGU,,0000,0,Tiempo del Centro,-6
0000-20067,20067,AGU,,0000,0,Tiempo del Centro,-6
0000-20068,20068,AGU,,0000,0,Tiempo del Centro,-6
0000-20069,20069,AGU,,0000,0,Tiempo del Centro,-6
0001-20070,20070,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20071,20071,AGU,,0000,0,Tiempo del Centro,-6
0000-20072,20072,AGU,,0000,0,Tiempo del Centro,-6
0000-20073,20073,AGU,,0000,0,Tiempo del Centro,-6
0000-20074,20074,AGU,,0000,0,Tiempo del Centro,-6
0000-20075,20075,AGU,,0000,0,Tiempo del Centro,-6
0000-20076,20076,AGU,,0000,0,Tiempo del Centro,-6
0000-20077,20077,AGU,,0000,0,Tiempo del Centro,-6
0001-20078,20078,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20079,20079,AGU,,0000,0,Tiempo del Centro,-6
0001-20080,20080,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20081,20081,AGU,,0000,0,Tiempo del Centro,-6
0000-20082,20082,AGU,,0000,0,Tiempo del Centro,-6
0000-20083,20083,AGU,,0000,0,Tiempo del Centro,-6
0000-20084,20084,AGU,,0000,0,Tiempo del Centro,-6
0000-20085,20085,AGU,,0000,0,Tiempo del Centro,-6
0000-20086,20086,AGU,,0000,0,Tiempo del Centro,-6
0000-20087,20087,AGU,,0000,0,Tiempo del Centro,-6
0000-20088,20088,AGU,,0000,0,Tiempo del Centro,-6
0001-20089,20089,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20090,20090,AGU,,0000,0,Tiempo del Centro,-6
0000-20091,20091,AGU,,0000,0,Tiempo del Centro,-6
0000-20092,20092,AGU,,0000,0,Tiempo del Centro,-6
0000-20093,20093,AGU,,0000,0,Tiempo del Centro,-6
0000-20094,20094,AGU,,0000,0,Tiempo del Centro,-6
0000-20095,20095,AGU,,0000,0,Tiempo del Centro,-6
0000-20096,20096,AGU,,0000,0,Tiempo del Centro,-6
0000-20097,20097,AGU,,0000,0,Tiempo del Centro,-6
0000-20098,20098,AGU,,0000,0,Tiempo del Centro,-6
0000-20099,20099,AGU,,0000,0,Tiempo del Centro,-6
0001-20100,20100,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20101,20101,AGU,,0000,0,Tiempo del Centro,-6
0000-20102,20102,AGU,,0000,0,Tiempo del Centro,-6
0000-20103,20103,AGU,,0000,0,Tiempo del Centro,-6
0000-20104,20104,AGU,,0000,0,Tiempo del Centro,-6
0000-20105,20105,AGU,,0000,0,Tiempo del Centro,-6
0000-20106,20106,AGU,,0000,0,Tiempo del Centro,-6
0000-20107,20107,AGU,,0000,0,Tiempo del Centro,-6
0000-20108,20108,AGU,,0000,0,Tiempo del Centro,-6
0000-20109,20109,AGU,,0000,0,Tiempo del Centro,-6
0001-20110,20110,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0000-20111,20111,AGU,,0000,0,Tiempo del Centro,-6
0000-20112,20112,AGU,,0000,0,Tiempo del Centro,-6
0000-20113,20113,AGU,,0000,0,Tiempo del Centro,-6
0000-20114,20114,AGU,,0000,0,Tiempo del Centro,-6
0001-20115,20115,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20116,20116,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20117,20117,AGU,AGU-001,0001,0,Tiempo del Centro,-6
0001-20118,20118,AGU,AGU-001,0001,0,Tiempo del Centro,-6
