"code","description","segmento_code"
"1010","Animales vivos","10"
"1011","Productos para animales domésticos","10"
"1012","Comida de animales","10"
"1013","Recipientes y hábitat para animales","10"
"1014","Productos de talabartería y arreo","10"
"1015","Semillas, bulbos, plántulas y esquejes","10"
"1016","Productos de floricultura y silvicultura","10"
"1017","Fertilizantes y nutrientes para plantas y herbicidas","10"
"1019","Productos para el control de plagas","10"
"1020","Rosales vivos","10"
"1021","Plantas vivas de especies o variedades de flores altas","10"
"1022","Plantas vivas de especies o variedades de flores bajas","10"
"1023","Crisantemos vivos","10"
"1024","Claveles vivos","10"
"1025","Orquídeas vivas","10"
"1030","Rosas frescas cortadas","10"
"1031","Bouquets cortados frescos de especies o variedades de flores altas","10"
"1032","Bouquets cortados frescos de especies o variedades de flores bajas","10"
"1033","Crisantemos cortados frescos","10"
"1034","Bouquets florales cortados frescos","10"
"1035","Claveles cortados frescos","10"
"1036","Orquídeas cortadas frescas","10"
"1040","Rosas cortadas secas","10"
"1041","Bouquets cortados secos de especies o variedades de flores altas","10"
"1042","Bouquets cortados secos de especies o variedades de flores bajas","10"
"1043","Crisantemos cortados secos","10"
"1044","Claveles cortados secos","10"
"1045","Orquídeas cortadas secas","10"
"1050","Follaje cortado fresco","10"
"1110","Minerales, minerales metálicos y metales","11"
"1111","Tierra y piedra","11"
"1112","Productos no comestibles de planta y silvicultura","11"
"1113","Productos animales no comestibles","11"
"1114","Chatarra y materiales de desecho","11"
"1115","Fibra, hilos e hilados","11"
"1116","Tejidos y materiales de cuero","11"
"1117","Aleaciones","11"
"1118","Óxido metálico","11"
"1119","Desechos metálicos y chatarra","11"
"1213","Materiales explosivos","12"
"1214","Elementos y gases","12"
"1216","Aditivos","12"
"1217","Colorantes","12"
"1218","Ceras y aceites","12"
"1219","Solventes","12"
"1235","Compuestos y mezclas","12"
"1310","Caucho y elastómeros","13"
"1311","Resinas y colofonias y otros materiales derivados de resina","13"
"1410","Materiales de papel","14"
"1411","Productos de papel","14"
"1412","Papel para uso industrial","14"
"1510","Combustibles","15"
"1511","Combustibles gaseosos y aditivos","15"
"1512","Lubricantes, aceites, grasas y anticorrosivos","15"
"1513","Combustible para reactores nucleares","15"
"2010","Maquinaria y equipo de minería y explotación de canteras","20"
"2011","Equipo de perforación y explotación de pozos","20"
"2012","Equipo para perforación y exploración de petróleo y gas","20"
"2013","Materiales para perforación y operaciones de petróleo y gas","20"
"2014","Equipo de producción y operación de petróleo y gas","20"
"2110","Maquinaria y equipo para agricultura, silvicultura y paisajismo","21"
"2111","Equipo de pesca y acuicultura","21"
"2210","Maquinaria y equipo pesado de construcción","22"
"2310","Maquinaria para el procesamiento de materias primas","23"
"2311","Maquinaria para el procesamiento de petróleo","23"
"2312","Maquinaria y accesorios de textiles y tejidos","23"
"2313","Maquinaria y equipos lapidarios","23"
"2314","Maquinaria de reparación y accesorios para marroquinería","23"
"2315","Maquinaria, equipo y suministros de procesos industriales","23"
"2316","Máquinas, equipo y suministros para fundición","23"
"2318","Equipo industrial para alimentos y bebidas","23"
"2319","Mezcladores y sus partes y accesorios","23"
"2320","Equipamiento para transferencia de masa","23"
"2321","Maquinaria de fabricación electrónica, equipo y accesorios","23"
"2322","Equipo y maquinaria de procesamiento de pollos","23"
"2323","Equipo y maquinaria de procesamiento de madera y aserrado","23"
"2324","Maquinaria y accesorios para cortar metales","23"
"2325","Maquinaria y accesorios para el formado de metales","23"
"2326","Maquinaria y accesorios para hacer prototipos rápidos","23"
"2327","Maquinaria y accesorios y suministros para soldadura de todas las clases","23"
"2328","Maquinaria para el tratamiento de metal","23"
"2329","Herramientas de maquinado industrial","23"
"2330","Maquinaria y equipo para cable","23"
"2410","Maquinaria y equipo para manejo de materiales","24"
"2411","Recipientes y almacenamiento","24"
"2412","Materiales de empaque","24"
"2413","Refrigeración industrial","24"
"2414","Suministros de embalaje","24"
"2510","Vehículos de motor","25"
"2511","Transporte marítimo","25"
"2512","Maquinaria y equipo para ferrocarril y tranvías","25"
"2513","Aeronaves","25"
"2515","Naves espaciales","25"
"2516","Bicicletas no motorizadas","25"
"2517","Componentes y sistemas de transporte","25"
"2518","Carrocerías y remolques","25"
"2519","Equipo para servicios de transporte","25"
"2520","Sistemas y componentes y equipos aeroespaciales","25"
"2610","Fuentes de energía","26"
"2611","Baterías y generadores y transmisión de energía cinética","26"
"2612","Alambres, cables y arneses","26"
"2613","Generación de energía","26"
"2614","Maquinaria y equipo para energía atómica o nuclear","26"
"2711","Herramientas de mano","27"
"2712","Maquinaria y equipo hidráulico","27"
"2713","Maquinaria y equipo neumático","27"
"2714","Herramientas especializadas automotrices","27"
"3010","Componentes estructurales y formas básicas","30"
"3011","Hormigón, cemento y yeso","30"
"3012","Carreteras y paisaje","30"
"3013","Productos de construcción estructurales","30"
"3014","Aislamiento","30"
"3015","Materiales para acabado de exteriores","30"
"3016","Materiales de acabado de interiores","30"
"3017","Puertas y ventanas y vidrio","30"
"3018","Instalaciones de plomería","30"
"3019","Equipo de apoyo para Construcción y Mantenimiento","30"
"3024","Componentes de construcción de estructura portátil","30"
"3025","Estructuras y materiales de minería subterránea","30"
"3026","Materiales estructurales","30"
"3110","Piezas de fundición y ensambles de piezas de fundición","31"
"3111","Extrusiones","31"
"3112","Piezas fundidas maquinadas","31"
"3113","Forjaduras","31"
"3114","Molduras","31"
"3115","Cuerda, cadena, cable, alambre y correa","31"
"3116","Ferretería","31"
"3117","Rodamientos, cojinetes ruedas y engranajes","31"
"3118","Empaques, glándulas, fundas y cubiertas","31"
"3119","Materiales de afilado pulido y alisado","31"
"3120","Adhesivos y selladores","31"
