"code","description","tipo_code"
"10","Material Vivo Vegetal y Animal, Accesorios y Suministros","1"
"11","Material Mineral, Textil y Vegetal y Animal No Comestible","1"
"12","Material Químico incluyendo Bioquímicos y Materiales de Gas","1"
"13","Materiales de Resina, Colofonia, Caucho, Espuma, Película y Elastómericos","1"
"14","Materiales y Productos de Papel","1"
"15","Materiales Combustibles, Aditivos para Combustibles, Lubricantes y Anticorrosivos","1"
"20","Maquinaria y Accesorios de Minería y Perforación de Pozos","1"
"21","Maquinaria y Accesorios para Agricultura, Pesca, Silvicultura y Fauna","1"
"22","Maquinaria y Accesorios para Construcción y Edificación","1"
"23","Maquinaria y Accesorios para Manufactura y Procesamiento Industrial","1"
"24","Maquinaria, Accesorios y Suministros para Manejo, Acondicionamiento y Almacenamiento de Materiales","1"
"25","Vehículos Comerciales, Militares y Particulares, Accesorios y Componentes","1"
"26","Maquinaria y Accesorios para Generación y Distribución de Energía","1"
"27","Herramientas y Maquinaria General","1"
"30","Componentes y Suministros para Estructuras, Edificación, Construcción y Obras Civiles","1"
"31","Componentes y Suministros de Manufactura","1"
"32","Componentes y Suministros Electrónicos","1"
"39","Componentes, Accesorios y Suministros de Sistemas Eléctricos e Iluminación","1"
"40","Componentes y Equipos para Distribución y Sistemas de Acondicionamiento","1"
"41","Equipos y Suministros de Laboratorio, de Medición, de Observación y de Pruebas","1"
"42","Equipo Médico, Accesorios y Suministros","1"
"43","Difusión de Tecnologías de Información y Telecomunicaciones","1"
"44","Equipos de Oficina, Accesorios y Suministros","1"
"45","Equipos y Suministros para Impresión, Fotografia y Audiovisuales","1"
"46","Equipos y Suministros de Defensa, Orden Publico, Proteccion, Vigilancia y Seguridad","1"
"47","Equipos de Limpieza y Suministros","1"
"48","Maquinaria, Equipo y Suministros para la Industria de Servicios","1"
"49","Equipos, Suministros y Accesorios para Deportes y Recreación","1"
"50","Alimentos, Bebidas y Tabaco","1"
"51","Medicamentos y Productos Farmacéuticos","1"
"52","Artículos Domésticos, Suministros y Productos Electrónicos de Consumo","1"
"53","Ropa, Maletas y Productos de Aseo Personal","1"
"54","Productos para Relojería, Joyería y Piedras Preciosas","1"
"55","Publicaciones Impresas, Publicaciones Electrónicas y Accesorios","1"
"56","Muebles, Mobiliario y Decoración","1"
"60","Instrumentos Musicales, Juegos, Juguetes, Artes, Artesanías y Equipo educativo, Materiales, Accesorios y Suministros","1"
"64","Instrumentos financieros, productos, contratos y acuerdos","1"
"95","Terrenos, Edificios, Estructuras y Vías","1"
"70","Servicios de Contratación Agrícola, Pesquera, Forestal y de Fauna","2"
"71","Servicios de Minería, Petróleo y Gas","2"
"72","Servicios de Edificación, Construcción de Instalaciones y Mantenimiento","2"
"73","Servicios de Producción Industrial y Manufactura","2"
"76","Servicios de Limpieza, Descontaminación y Tratamiento de Residuos","2"
"77","Servicios Medioambientales","2"
"78","Servicios de Transporte, Almacenaje y Correo","2"
"80","Servicios de Gestión, Servicios Profesionales de Empresa y Servicios Administrativos","2"
"81","Servicios Basados en Ingeniería, Investigación y Tecnología","2"
"82","Servicios Editoriales, de Diseño, de Artes Graficas y Bellas Artes","2"
"83","Servicios Públicos y Servicios Relacionados con el Sector Público","2"
"84","Servicios Financieros y de Seguros","2"
"85","Servicios de Salud","2"
"86","Servicios Educativos y de Formación","2"
"90","Servicios de Viajes, Alimentación, Alojamiento y Entretenimiento","2"
"91","Servicios Personales y Domésticos","2"
"92","Servicios de Defensa Nacional, Orden Publico, Seguridad y Vigilancia","2"
"93","Servicios Políticos y de Asuntos Cívicos","2"
"94","Organizaciones y Clubes","2"
