Código de Producto,Cantidad,Stock Mínimo,Stock Máximo
P0001,5,5,30
P0002,1,1,4
P0003,5,5,15
P0004,5,5,30
P0005,1,1,4
P0006,5,5,20
P0007,1,1,4
P0008,5,5,15
P0009,25,25,50
P0010,1,1,4
P0011,25,25,50
P0012,1,1,4
P0013,25,25,50
P0014,1,1,4
P0015,2,2,15
P0016,2,2,15
P0017,2,2,15
P0018,10,10,50
P0019,5,5,10
P0020,2,2,5
P0021,5,5,15
P0022,5,5,15
P0023,5,5,15
P0024,5,5,15
P0025,5,5,20
P0026,5,5,20
P0027,5,5,20
P0028,5,5,15
P0029,5,5,15
P0030,5,5,15
P0031,5,5,15
P0032,3,3,10
P0033,3,3,10
P0034,3,3,10
P0035,10,10,24
P0036,6,6,24
P0037,6,6,12
P0038,5,5,15
P0039,5,5,15
P0040,5,5,15
P0041,5,5,25
P0042,10,10,48
P0043,24,24,48
P0044,2,2,48
P0045,10,10,48
P0046,5,5,20
P0047,5,5,20
P0048,10,10,24
P0049,5,5,24
P0050,5,5,25
P0051,5,5,25
P0052,5,5,25
P0053,5,5,25
P0054,5,5,20
P0055,5,5,20
P0056,5,5,12
P0057,5,5,15
P0058,5,5,50
P0059,5,5,12
P0060,5,5,20
P0061,5,5,20
P0062,2,2,5
P0063,10,10,20
P0064,5,5,12
P0065,5,5,10
P0066,3,3,10
P0067,5,5,10
P0068,5,5,24
P0069,5,5,24
P0070,5,5,24
P0071,6,6,24
P0072,6,6,24
P0073,6,6,24
P0074,6,6,24
P0075,6,6,24
P0076,6,6,24
P0077,3,3,10
P0078,3,3,24
P0079,10,10,24
P0080,10,10,24
P0081,5,5,30
P0082,5,5,12
P0083,4,4,10
P0084,5,5,20
P0085,5,5,15
P0086,5,5,15
P0087,5,5,12
P0088,3,3,30
P0089,3,3,12
P0090,5,5,12
P0091,5,5,24
P0092,3,3,10
P0093,5,5,12
P0094,5,5,12
P0095,5,5,12
P0096,3,3,10
P0097,3,3,10
P0098,10,10,40
P0099,5,5,15
P0100,5,5,15
P0101,5,5,15
P0102,10,10,50
P0103,1,1,2
P0104,10,10,30
P0105,5,5,12
P0106,12,12,24
P0107,1,1,2
P0108,10,10,24
P0109,5,5,24
P0110,5,5,24
P0111,5,5,15
P0112,1,1,5
P0113,6,6,25
P0114,10,10,20
P0115,6,6,25
P0116,6,6,12
P0117,6,6,20
P0118,6,6,12
P0119,6,6,20
P0120,6,6,12
P0121,1,1,3
P0122,15,15,48
P0123,4,4,12
P0124,15,15,48
P0125,15,15,48
P0126,3,3,15
P0127,3,3,15
P0128,3,3,15
P0129,3,3,15
P0130,3,3,15
P0131,3,3,15
P0132,5,5,36
P0133,3,3,12
P0134,3,3,12
P0135,2,2,5
P0136,5,5,24
P0137,2,2,5
P0138,5,5,50
P0139,5,5,50
P0140,1,1,5
P0141,1,1,5
P0142,1,1,5
P0143,1,1,5
P0144,1,1,5
P0145,1,1,5
P0146,1,1,5
P0147,2,2,6
P0148,2,2,6
P0149,4,4,12
P0150,4,4,12
P0151,4,4,12
P0152,4,4,12
P0153,4,4,12
P0154,4,4,12
P0155,4,4,12
P0156,10,10,50
P0157,10,10,50
P0158,10,10,50
P0159,40,40,400
P0160,10,10,50
P0161,10,10,50
P0162,10,10,50
P0163,10,10,50
P0164,40,40,400
P0165,40,40,400
P0166,40,40,400
P0167,40,40,400
P0168,10,10,50
P0169,40,40,100
P0170,40,40,100
P0171,20,20,400
P0172,40,40,400
P0173,10,10,50
P0174,40,40,400
P0175,40,40,400
P0176,40,40,400
P0177,20,20,400
P0178,40,40,400
P0179,40,40,100
P0180,20,20,50
P0181,40,40,400
P0182,40,40,400
P0183,40,40,400
P0184,5,5,24
P0185,5,5,24
P0186,5,5,24
P0187,5,5,24
P0188,5,5,24
P0189,5,5,24
P0190,5,5,24
P0191,5,5,24
P0192,5,5,24
P0193,5,5,24
P0194,5,5,24
P0195,5,5,24
P0196,5,5,24
P0197,5,5,24
P0198,5,5,24
P0199,5,5,24
P0200,5,5,24
P0201,10,10,100
P0202,10,10,50
P0203,10,10,40
